State,Sex,Age_group,COVID-19_Deaths
Arizona,Female,65-74 ,417
Arizona,Female,75-84 ,510
Arizona,Female,85 _and_over,559
Arizona,Female,All_Ages,1924
Arizona,Unknown,Under_1_year,0
Arizona,Unknown,0-17 ,0
Arizona,Unknown,1-4 ,0
Arizona,Unknown,5-14 ,0
Arizona,Unknown,15-24 ,0
Arizona,Unknown,18-29 ,0
Arizona,Unknown,25-34 ,0
Arizona,Unknown,30-49 ,0
Arizona,Unknown,35-44 ,0
Arizona,Unknown,45-54 ,0
Arizona,Unknown,50-64 ,0
Arizona,Unknown,55-64 ,0
Arizona,Unknown,65-74 ,0
Arizona,Unknown,75-84 ,0
Arizona,Unknown,85 _and_over,0
Arizona,Unknown,All_Ages,0
Arizona,All_Sexes,All_Ages,4554
Arkansas,Male,Under_1_year,0
Arkansas,Male,0-17 ,0
Arkansas,Male,1-4 ,0
Arkansas,Male,5-14 ,0
Arkansas,Male,15-24 ,
Arkansas,Male,18-29 ,
Arkansas,Male,25-34 ,
Arkansas,Male,30-49 ,32
Arkansas,Male,35-44 ,10
Arkansas,Male,45-54 ,36
Arkansas,Male,50-64 ,96
Arkansas,Male,55-64 ,77
Arkansas,Male,65-74 ,95
Arkansas,Male,75-84 ,115
Arkansas,Male,85 _and_over,81
Arkansas,Male,All_Ages,423
Arkansas,Female,Under_1_year,0
Arkansas,Female,0-17 ,0
Arkansas,Female,1-4 ,0
Arkansas,Female,5-14 ,0
Arkansas,Female,15-24 ,
Arkansas,Female,18-29 ,
Arkansas,Female,25-34 ,
Arkansas,Female,30-49 ,24
Arkansas,Female,35-44 ,11
Arkansas,Female,45-54 ,13
Arkansas,Female,50-64 ,50
Arkansas,Female,55-64 ,45
Arkansas,Female,65-74 ,53
Arkansas,Female,75-84 ,88
Arkansas,Female,85 _and_over,136
Arkansas,Female,All_Ages,354
Arkansas,Unknown,Under_1_year,0
Arkansas,Unknown,0-17 ,0
Arkansas,Unknown,1-4 ,0
Arkansas,Unknown,5-14 ,0
Arkansas,Unknown,15-24 ,0
Arkansas,Unknown,18-29 ,0
Arkansas,Unknown,25-34 ,0
Arkansas,Unknown,30-49 ,0
Arkansas,Unknown,35-44 ,0
Arkansas,Unknown,45-54 ,0
Arkansas,Unknown,50-64 ,0
Arkansas,Unknown,55-64 ,0
