State,Sex,Age_group,COVID-19_Deaths
Arizona,Female,Under_1_year,0
Arizona,Female,0-17_years,0
Arizona,Female,1-4_years,0
Arizona,Female,5-14_years,0
Arizona,Female,15-24_years,
Arizona,Female,18-29_years,15
Arizona,Female,25-34_years,27
Arizona,Female,30-49_years,122
Arizona,Female,35-44_years,54
Arizona,Female,45-54_years,100
Arizona,Female,50-64_years,319
Arizona,Female,55-64_years,269
Arizona,Female,65-74_years,430
Arizona,Female,75-84_years,526
Arizona,Female,85_years_and_over,572
Arizona,Unknown,Under_1_year,0
Arizona,Unknown,0-17_years,0
Arizona,Unknown,1-4_years,0
Arizona,Unknown,5-14_years,0
Arizona,Unknown,15-24_years,0
Arizona,Unknown,18-29_years,0
Arizona,Unknown,25-34_years,0
Arizona,Unknown,30-49_years,0
Arizona,Unknown,35-44_years,0
Arizona,Unknown,45-54_years,0
Arizona,Unknown,50-64_years,0
Arizona,Unknown,55-64_years,0
Arizona,Unknown,65-74_years,0
Arizona,Unknown,75-84_years,0
Arizona,Unknown,85_years_and_over,0
Arkansas,Male,Under_1_year,0
Arkansas,Male,0-17_years,0
Arkansas,Male,1-4_years,0
Arkansas,Male,5-14_years,0
Arkansas,Male,15-24_years,
Arkansas,Male,18-29_years,
Arkansas,Male,25-34_years,
Arkansas,Male,30-49_years,34
Arkansas,Male,35-44_years,10
Arkansas,Male,45-54_years,42
Arkansas,Male,50-64_years,107
Arkansas,Male,55-64_years,84
Arkansas,Male,65-74_years,106
Arkansas,Male,75-84_years,130
Arkansas,Male,85_years_and_over,92
Arkansas,Female,Under_1_year,0
Arkansas,Female,0-17_years,0
Arkansas,Female,1-4_years,0
Arkansas,Female,5-14_years,0
Arkansas,Female,15-24_years,
Arkansas,Female,18-29_years,
Arkansas,Female,25-34_years,
Arkansas,Female,30-49_years,27
Arkansas,Female,35-44_years,11
Arkansas,Female,45-54_years,16
Arkansas,Female,50-64_years,57
Arkansas,Female,55-64_years,52
Arkansas,Female,65-74_years,69
Arkansas,Female,75-84_years,101
Arkansas,Female,85_years_and_over,153
Arkansas,Unknown,Under_1_year,0
Arkansas,Unknown,0-17_years,0
Arkansas,Unknown,1-4_years,0
